Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,distance_wer,distance_wil,distance_combined
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.177202689240408,9.160362353228159,11.585335558368604
2024-12-11 21:06:37.507,24-0.6.pkl,distil-medium.en,7,False,True,4,0.6,0.5096623333333333,0.3794546333333333,0.4158663666666666,7.1,9.1,4.990396181742351,43996.0,18940.0,3667.0,1590.0,3666.3333333333335,1578.3333333333333,42.004625956217446,3.582714080810547,3.5003854963514542,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.182126762660523,9.164220907143418,11.585335558368604
2024-12-11 21:07:05.112,24-0.6.pkl,distil-medium.en,7,False,True,4,0.8,0.5045365666666667,0.3673482999999999,0.4055105333333333,7.1,9.1,4.866126457850139,43996.0,18985.0,3667.0,1590.0,3666.3333333333335,1582.0833333333333,39.98186111450195,3.390089670817057,3.3318217595418296,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.1815345708730165,9.163756805625315,11.585335558368604
2024-12-11 21:07:58.994,24-0.6.pkl,distil-medium.en,7,False,False,4,,0.5001825333333333,0.3720323,0.4053431333333333,7.1,9.1,4.864117701848348,43988.0,19020.0,3667.0,1590.0,3665.6666666666665,1585.0,40.790032704671226,3.503554026285807,3.3991693920559354,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.181525120455994,9.163749399440192,11.585335558368604
2024-12-11 21:04:49.350,24-0.6.pkl,distil-medium.en,7,False,True,1,0.4,0.5038791666666667,0.3573580333333333,0.4038396333333333,7.1,9.1,4.846075852711995,43716.0,19005.0,3643.0,1590.0,3643.0,1583.75,40.707281748453774,3.43777847290039,3.392273479037815,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.181440416062142,9.16368301773096,11.585335558368604
2024-12-11 21:04:22.565,24-0.6.pkl,distil-medium.en,7,True,False,4,,0.5267169333333334,0.3764399666666667,0.4020179666666666,7.1,9.1,4.824215332667033,43988.0,19015.0,3667.0,1590.0,3665.6666666666665,1584.5833333333333,40.64372634887695,3.4483566284179688,3.386977195739746,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.181338207153511,9.163602918368015,11.585335558368604
2024-12-11 21:05:16.347,24-0.6.pkl,distil-medium.en,7,False,True,1,0.6,0.4921044333333333,0.3479639,0.4018821999999999,7.1,9.1,4.82258661588033,43716.0,19015.0,3643.0,1590.0,3643.0,1584.5833333333333,41.82963689168295,3.5656661987304688,3.485803074306912,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.1813306080890635,9.163596963129534,11.585335558368604
2024-12-11 21:05:43.339,24-0.6.pkl,distil-medium.en,7,False,True,1,0.8,0.5092156666666666,0.3456197666666666,0.4005431666666667,7.1,9.1,4.806518316268921,43716.0,18910.0,3643.0,1590.0,3643.0,1575.8333333333333,42.238765716552734,3.595740000406901,3.519897143046061,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.181255797446806,9.163538335619236,11.585335558368604
2024-12-11 21:03:55.782,24-0.6.pkl,distil-medium.en,7,True,False,1,,0.5136978666666666,0.3552816666666666,0.3991196666666667,7.1,9.1,4.789436022440593,43716.0,18980.0,3643.0,1590.0,3643.0,1581.6666666666667,39.8090705871582,3.370914459228516,3.31742254892985,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.181176540673548,9.163476224027653,11.585335558368604
2024-12-11 21:07:31.837,24-0.6.pkl,distil-medium.en,7,False,False,1,,0.4880526666666667,0.3292899666666666,0.3883828666666666,7.1,9.1,4.660594463348389,43716.0,18980.0,3643.0,1590.0,3643.0,1581.6666666666667,40.52660624186198,3.427984873453776,3.3772171868218317,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.180587806796893,9.16301485599146,11.585335558368604
2024-12-11 20:58:43.202,24-0.6.pkl,distil-medium.en,5,False,True,4,0.6,0.4654799333333333,0.3320701333333333,0.3623089,7.1,9.1,4.347707112630208,43996.0,18665.0,3667.0,1575.0,3666.3333333333335,1555.4166666666667,43.52605183919271,3.7101720174153647,3.627170986599392,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179224731056913,9.161946722122936,11.585335558368604
