Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,total_chunk_time,distance_wer,distance_wil,distance_combined
2024-12-11 21:12:27.713,24-0.6.pkl,distil-large-v3,3,True,False,4,,0.526557,0.422096,0.454103,10.2,13.1,5.4492363929748535,48212.0,18900,4019.0,1575,4017.6666666666665,1575.0,48.4111442565918,4.087062835693359,4.034262021382649,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2449497018702353,10.750334811886917,13.532911681070992,16.63279892261071
2024-12-11 21:12:03.715,24-0.6.pkl,distil-large-v3,3,True,False,1,,0.498719,0.3860562,0.4419826,10.2,13.1,5.303791522979736,47940.0,18870,3995.0,1575,3995.0,1572.5,46.70456314086914,3.9561996459960938,3.8920469284057617,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.232829301870235,10.746682525087953,13.530010543049507,16.63279892261071
2024-12-11 21:10:00.967,24-0.6.pkl,distil-large-v3,3,True,True,4,0.4,0.5526388,0.4257584,0.4672425,10.2,13.1,5.606910228729248,48220.0,18900,4019.0,1575,4018.3333333333335,1575.0,49.31086730957031,4.225852966308594,4.109238942464192,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.258089201870235,10.754308217981453,13.536068308314029,16.63279892261071
2024-12-11 21:12:52.407,24-0.6.pkl,distil-large-v3,3,True,False,4,,0.5094495,0.4247797,0.4549393,10.2,13.1,5.4592719078063965,48212.0,18900,4019.0,1575,4017.6666666666665,1575.0,45.95424270629883,3.865264892578125,3.8295202255249023,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2457860018702354,10.750587275583449,13.533112235178454,16.63279892261071
2024-12-11 21:12:16.027,24-0.6.pkl,distil-large-v3,3,True,False,1,,0.5563843,0.4281332,0.4556127,10.2,13.1,5.467352390289307,47940.0,18900,3995.0,1575,3995.0,1575.0,45.95978546142578,3.886177062988281,3.829982121785482,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2464594018702355,10.75079060571787,13.53327375944164,16.63279892261071
2024-12-11 21:12:40.221,24-0.6.pkl,distil-large-v3,3,True,False,4,,0.5429811,0.4219682,0.4585463,10.2,13.1,5.502556085586548,48212.0,18900,4019.0,1575,4017.6666666666665,1575.0,44.77660369873047,3.785411834716797,3.731383641560873,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2493930018702355,10.751676840409743,13.533977792231049,16.63279892261071
2024-12-11 21:08:23.941,24-0.6.pkl,distil-large-v3,3,True,True,1,0.4,0.4887552,0.3972476,0.459009,10.2,13.1,5.508107423782349,47940.0,18885,3995.0,1575,3995.0,1573.75,47.60827255249024,4.032238006591797,3.967356046040853,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2498557018702354,10.751816687563943,13.534088890020579,16.63279892261071
2024-12-11 21:11:52.040,24-0.6.pkl,distil-large-v3,3,True,False,1,,0.5668356,0.4319098,0.4624987,10.2,13.1,5.549983978271484,47940.0,18900,3995.0,1575,3995.0,1575.0,50.235382080078125,4.297023773193359,4.186281840006511,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2533454018702352,10.752872002580064,13.534927273682344,16.63279892261071
2024-12-11 21:19:34.488,24-0.6.pkl,distil-large-v3,5,True,True,1,0.8,0.5444148,0.3980424,0.4658238,10.2,13.1,5.589885950088501,47940.0,18900,3995.0,1575,3995.0,1575.0,46.856719970703125,3.959903717041016,3.90472666422526,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2566705018702353,10.753878498372192,13.535726901712804,16.63279892261071
2024-12-11 21:09:00.744,24-0.6.pkl,distil-large-v3,3,True,True,1,0.6,0.5127795,0.3923538,0.4545687,10.2,13.1,5.454824686050415,47940.0,18885,3995.0,1575,3995.0,1573.75,50.13200759887695,4.24993896484375,4.177667299906413,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2454154018702353,10.75047539091628,13.53302335513748,16.63279892261071
2024-12-11 21:09:48.947,24-0.6.pkl,distil-large-v3,3,True,True,1,0.8,0.5177159,0.4521883,0.4705109,10.2,13.1,5.646131038665772,47940.0,18900,3995.0,1575,3995.0,1575.0,48.87968063354492,4.138088226318359,4.073306719462077,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.2613576018702353,10.755298852532029,13.536855373655905,16.63279892261071
