min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime
8,0.6,97.75000000149012,883.7257142856718,24.27777777777778,22.24688042534722,2.0308973524305554
8,0.7,103.0,910.3411764708512,23.057142857142857,22.86612025669643,0.19102260044642858
8,0.8,98.30000000447036,968.2750000006054,22.181818181818183,21.865981593276516,0.3158365885416667
16,0.6,102.0,1778.80588235224,39.5,37.89605034722222,1.6039496527777777
16,0.7,94.89999999850988,1841.4687500004657,41.411764705882355,39.3711368336397,2.040627872242647
16,0.8,96.80000000447036,1951.4999999995032,40.6875,39.12593078613281,1.5615692138671875
24,0.6,101.70000000298025,2601.845454545861,59.25,56.56939697265625,2.68060302734375
24,0.7,101.89999999850988,2710.05000000298,59.27272727272727,55.94659978693182,3.3261274857954546
24,0.8,100.79999999701975,2826.709999999404,58.90909090909091,56.7998046875,2.109286221590909
32,0.6,97.89999999850988,3505.47500000149,81.44444444444444,78.31711154513889,3.1273328993055554
32,0.7,102.30000000447036,3654.3857142850757,80.625,77.82925415039062,2.795745849609375
32,0.8,103.09999999403954,3790.3285714281456,82.875,80.22750854492188,2.647491455078125
