Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,distance_wer,distance_wil,distance_combined
2024-12-13 18:42:23.830,32-0.6.pkl,distil-large-v3,3,False,False,1,,466.299057,313.9429092,0.3440323538,22.1,27.3,6192.582368850708,16110.0,28290,895.0,1575,895.0,1571.6666666666667,76.5566635131836,4.359321594238281,4.253147972954644,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.1252877554273,27.32047507384272,35.138298194420294
2024-12-13 18:52:34.640,32-0.6.pkl,distil-large-v3,5,False,False,1,,507.0090294,327.5444508,0.36575331949999995,22.1,27.3,6583.55975151062,16110.0,28305,895.0,1590,895.0,1572.5,70.48490142822266,3.997364044189453,3.915827857123481,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.12563616013617,27.3207572276232,35.138298194420294
2024-12-13 18:53:39.119,32-0.6.pkl,distil-large-v3,5,False,False,4,,537.302494,330.2896023,0.3729759985,22.1,27.3,6713.567972183228,16526.0,28410,919.0,1590,918.1111111111112,1578.3333333333333,74.84748458862305,4.245822906494141,4.158193588256836,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.12575673497874,27.320854874902015,35.138298194420294
2024-12-13 19:04:18.385,32-0.6.pkl,distil-large-v3,7,False,False,1,,608.0408096,358.7362766,0.40761705239999996,22.1,27.3,7337.106943130493,16110.0,28485,895.0,1590,895.0,1582.5,71.644775390625,4.044185638427734,3.9802652994791674,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.1263677918769,27.321349740842003,35.138298194420294
2024-12-13 18:58:24.377,32-0.6.pkl,distil-large-v3,7,True,False,1,,620.898962,362.225771,0.4154106776,22.1,27.3,7477.392196655273,16110.0,28515,895.0,1590,895.0,1584.1666666666667,69.05192947387695,3.889945983886719,3.8362183041042752,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.126512739947618,27.32146712808564,35.138298194420294
2024-12-13 18:48:09.608,32-0.6.pkl,distil-large-v3,5,True,False,4,,504.339695,335.8449936,0.3809452587,22.1,27.3,6857.014656066895,16526.0,28365,919.0,1590,918.1111111111112,1575.8333333333333,70.7573471069336,3.9883995056152335,3.930963728162977,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.125892508328924,27.320964830878978,35.138298194420294
2024-12-13 19:04:05.143,32-0.6.pkl,distil-large-v3,7,False,False,1,,567.9402351,369.0106869,0.4156461292,22.1,27.3,7481.630325317383,16110.0,28440,895.0,1590,895.0,1580.0,70.92336654663086,4.02252197265625,3.940187030368381,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.12651716164835,27.321470709036127,35.138298194420294
2024-12-13 19:04:46.696,32-0.6.pkl,distil-large-v3,7,False,False,4,,617.8469658,365.5471802,0.41798489619999996,22.1,27.3,7523.728132247925,16526.0,28530,919.0,1590,918.1111111111112,1585.0,73.09558868408203,4.147891998291016,4.060866038004558,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.126561218893716,27.321506389169897,35.138298194420294
2024-12-13 18:53:26.160,32-0.6.pkl,distil-large-v3,5,False,False,4,,504.8251152,333.0554962,0.37384442489999997,22.1,27.3,6729.199647903442,16526.0,28365,919.0,1590,918.1111111111112,1575.8333333333333,72.76728057861328,4.138011932373047,4.042626698811849,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.125771391163493,27.320866744194426,35.138298194420294
2024-12-13 18:53:12.995,32-0.6.pkl,distil-large-v3,5,False,False,4,,562.2839928,333.8291645,0.3769074943,22.1,27.3,6784.334897994995,16526.0,28350,919.0,1590,918.1111111111112,1575.0,69.90701293945312,3.9620094299316406,3.883722941080729,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.125823357770432,27.320908829306166,35.138298194420294
2024-12-13 18:48:22.793,32-0.6.pkl,distil-large-v3,5,True,False,4,,518.9082623,339.8673534,0.3776682748,22.1,27.3,6798.028945922852,16526.0,28335,919.0,1590,918.1111111111112,1574.1666666666667,71.36513137817383,4.008262634277344,3.964729521009657,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.125836330538796,27.320919335296725,35.138298194420294
2024-12-13 18:47:56.642,32-0.6.pkl,distil-large-v3,5,True,False,4,,524.1618156,337.9149437,0.3801825311,22.1,27.3,6843.28556060791,16526.0,28230,919.0,1590,918.1111111111112,1568.3333333333333,73.05808639526367,4.155776977539063,4.058782577514648,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.125879389460515,27.320954206560092,35.138298194420294
2024-12-13 18:58:51.217,32-0.6.pkl,distil-large-v3,7,True,False,4,,588.4380341,366.8937683,0.4306746059,22.1,27.3,7752.142906188965,16526.0,28575,919.0,1590,918.1111111111112,1587.5,67.95261764526367,3.8162994384765625,3.775145424736871,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.126804573100184,27.32170347207815,35.138298194420294
2024-12-13 18:58:37.329,32-0.6.pkl,distil-large-v3,7,True,False,1,,517.7109241,338.0205631,0.3970095979,22.1,27.3,7146.172761917114,16110.0,28470,895.0,1590,895.0,1581.6666666666667,69.10196685791016,3.892658233642578,3.8389981587727866,32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121,22.126174920686694,27.321193543123712,35.138298194420294
