min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime
8,0.6,102.95,889.9752161385175,21.389355742296917,20.57382415856968,0.8155315837272409
8,0.7,97.75,918.554354354784,21.282798833819243,20.5256183946793,0.7571804391399417
8,0.8,98.09000000208616,953.6965625001118,20.836363636363636,20.075549686316286,0.7608139500473485
16,0.6,98.09000000059605,1783.0678571430701,37.646067415730336,36.74943628204003,0.896631133690309
16,0.7,97.7800000011921,1849.4324999999255,39.38235294117647,38.471039177389706,0.9113137637867647
16,0.8,97.11000000089408,1912.142666665415,39.29375,38.29937591552734,0.9943740844726563
24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.0018279772846639
24,0.7,98.63000000119209,2711.6640000002085,58.22727272727273,57.10128062855114,1.125992098721591
24,0.8,100.51000000089407,2844.6787878789687,76.0,74.73781760679472,1.2621823932052751
32,0.6,104.02999999821186,3467.322077922426,162.2183908045977,160.4727123742816,1.745678430316092
32,0.7,101.79000000059605,3628.6028571420484,132.0625,130.45299682617187,1.609503173828125
32,0.8,97.56000000238419,3776.5557142845223,78.55,77.36866149902343,1.1813385009765625
